filename,rouge1_f1,rouge2_f1,rougeL_f1,sim_text_mean,sim_text_median,sim_text_std,sim_sum_mean,sim_sum_median,sim_sum_std,length_mean,length_ratio,sum_ratio,god_metric
bart-sm-b30-lp1.5.json,0.641,0.454,0.558,0.968,0.978,0.037,0.850,0.847,0.102,41.857,0.842,1.594,0.721
bart-sm-b5-lp0.4.json,0.639,0.460,0.551,0.945,0.967,0.060,0.849,0.868,0.103,37.500,0.787,1.477,0.725
bart-sm-b5-lp0.6.json,0.635,0.458,0.547,0.947,0.967,0.060,0.848,0.868,0.104,39.548,0.806,1.535,0.724
bart-sm-b5-lp0.8.json,0.638,0.460,0.548,0.948,0.970,0.061,0.845,0.865,0.101,41.357,0.829,1.585,0.724
bart-sm-b5-lp1.2.json,0.637,0.459,0.551,0.954,0.974,0.056,0.849,0.868,0.102,42.524,0.847,1.617,0.726
bart-sm-b5-lp1.5.json,0.639,0.460,0.551,0.955,0.974,0.054,0.849,0.868,0.102,42.667,0.849,1.621,0.727
bart-sm-b5-lp1.json,0.637,0.459,0.551,0.954,0.974,0.056,0.849,0.868,0.102,42.524,0.847,1.617,0.726
bart-sm-b5-lp2.json,0.637,0.457,0.542,0.961,0.974,0.048,0.849,0.866,0.103,44.119,0.883,1.663,0.724
bart-sm-b7-lp0.4.json,0.642,0.462,0.567,0.943,0.964,0.056,0.849,0.868,0.102,36.571,0.762,1.416,0.729
bart-sm-b7-lp0.6.json,0.638,0.462,0.561,0.948,0.967,0.057,0.847,0.868,0.105,39.524,0.805,1.519,0.727
bart-sm-b7-lp0.8.json,0.640,0.463,0.565,0.953,0.967,0.052,0.848,0.868,0.101,41.048,0.823,1.555,0.729
bart-sm-b7-lp1.2.json,0.637,0.460,0.560,0.956,0.969,0.049,0.845,0.865,0.102,41.619,0.833,1.574,0.726
bart-sm-b7-lp1.5.json,0.641,0.459,0.560,0.960,0.973,0.045,0.847,0.865,0.104,42.857,0.854,1.605,0.727
bart-sm-b7-lp1.json,0.637,0.460,0.560,0.956,0.969,0.049,0.845,0.865,0.102,41.619,0.833,1.574,0.726
bart-sm-b7-lp2.json,0.639,0.457,0.557,0.964,0.973,0.041,0.848,0.846,0.103,44.143,0.883,1.662,0.720
bart-sm-b9-lp0.4.json,0.644,0.467,0.573,0.935,0.966,0.067,0.849,0.864,0.103,34.786,0.735,1.373,0.730
bart-sm-b9-lp0.6.json,0.641,0.467,0.567,0.940,0.970,0.068,0.847,0.864,0.106,37.905,0.779,1.482,0.729
bart-sm-b9-lp0.8.json,0.645,0.472,0.574,0.952,0.977,0.060,0.849,0.867,0.102,41.167,0.815,1.553,0.734
bart-sm-b9-lp1.2.json,0.642,0.466,0.566,0.961,0.978,0.050,0.853,0.869,0.106,42.024,0.838,1.586,0.732
bart-sm-b9-lp1.5.json,0.642,0.465,0.565,0.961,0.978,0.050,0.852,0.869,0.106,42.048,0.839,1.587,0.731
bart-sm-b9-lp1.json,0.644,0.469,0.568,0.963,0.978,0.053,0.856,0.869,0.104,41.810,0.832,1.577,0.733
bart-sm-b9-lp2.json,0.639,0.461,0.560,0.966,0.977,0.042,0.852,0.865,0.103,43.857,0.878,1.659,0.728
bart-sm2-b5-lp0.6.json,0.604,0.426,0.522,0.954,0.968,0.057,0.834,0.846,0.104,47.357,0.962,1.813,0.702
bart-sm2-b8-lp0.6.json,0.613,0.437,0.528,0.958,0.969,0.053,0.845,0.858,0.096,47.476,0.936,1.777,0.710
bart-sm2.1-b5-lp0.6.json,0.500,0.358,0.436,0.788,0.982,0.349,0.694,0.833,0.318,34.643,0.727,1.383,0.657
bart-sm2.1-b5-lp1.5.json,0.600,0.430,0.517,0.930,0.992,0.198,0.817,0.854,0.188,54.524,0.998,1.955,0.708
bart-sm2.1-b5-lp1.json,0.590,0.424,0.509,0.924,0.992,0.199,0.808,0.852,0.197,46.690,0.894,1.740,0.703
bart_fewshot-sm-10-b9;15-lp0.6;1.4.json,0.642,0.460,0.564,0.966,0.990,0.051,0.853,0.860,0.102,44.714,0.865,1.650,0.729
bart_fewshot-sm-10-b9;15-lp0.8;1.5.json,0.652,0.530,0.585,0.968,0.979,0.040,0.866,0.875,0.075,39.429,0.917,1.799,0.750
bart_fewshot-sm-5-b8;15-lp0.5;1.5.json,0.638,0.456,0.557,0.955,0.977,0.053,0.841,0.857,0.107,43.429,0.846,1.617,0.724
bart_fewshot-sm-5-b9;15-lp0.8;1.5.json,0.640,0.463,0.562,0.964,0.984,0.052,0.847,0.857,0.103,44.857,0.867,1.653,0.727
Baseline.json,0.641,0.474,0.590,1.000,1.000,0.000,0.866,0.863,0.095,56.119,1.000,1.944,0.738
decimake-1_gemma-7b-it-temp0.95_bart-sm-b15-lp0.8_3-2.json,0.601,0.431,0.530,0.892,0.977,0.235,0.791,0.844,0.218,39.976,0.776,1.457,0.704
decimake-1_Mixtral-8x7B-Instruct-v0.1-temp0.95_bart-sm-b15-lp0.8_3.json,0.621,0.424,0.551,0.919,0.964,0.097,0.845,0.867,0.109,31.690,0.704,1.278,0.716
decimake-1_Mixtral-8x7B-Instruct-v0.1-temp0.95_bart-sm-b15-lp1.2_3.json,0.624,0.413,0.549,0.939,0.967,0.069,0.864,0.892,0.101,32.905,0.732,1.327,0.723
